Fecha_Hora,Escenario,Conexion,VPN,Posicion_Esperada,Latitud,Longitud,Precision_m,Tiempo_Obtencion_ms,Tiempo_Consulta_Config_ms,Distancia_m,Radio_Geocerca_m,Validacion,Validacion_Correcta,Error
"2026-08-02T20:08:12.626Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""2282.40"",""1364.70"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:13.978Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""845.10"",""2715.80"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:15.458Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""164.00"",""4195.90"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:16.179Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""1524.20"",""4917.20"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:18.016Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""120.50"",""6126.20"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:19.246Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""113.80"",""6625.30"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:20.012Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""124.00"",""6553.90"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:20.734Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""187.40"",""6494.20"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:22.274Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""179.00"",""7358.10"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:23.953Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""161.60"",""8069.40"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:27.761Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""154.90"",""9771.60"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:28.873Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""131.80"",""9928.10"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:29.634Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""117.90"",""9793.80"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:30.512Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""123.20"",""10049.60"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:31.540Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288450"",""-79.213276"",""114.00"",""136.10"",""10388.60"",""0.81"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:35.442Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288330"",""-79.213250"",""116.00"",""2176.60"",""11682.90"",""14.38"",""10"",""Rechazada"",""No"","""""
"2026-08-02T20:08:43.850Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288415"",""-79.213231"",""116.00"",""1863.20"",""1004.80"",""6.86"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:46.383Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288415"",""-79.213231"",""116.00"",""132.10"",""1200.60"",""6.86"",""10"",""Aceptada"",""Sí"","""""
"2026-08-02T20:08:47.513Z,""E4"",""Datos móviles"",""Sí"",""Dentro"",""-0.288415"",""-79.213231"",""116.00"",""166.00"",""1619.30"",""6.86"",""10"",""Aceptada"",""Sí"","""""
